confirmation_date1;day_cum_abs_num;day_ob_abs_num
03/06/2024;294;7
04/06/2024;263;7
05/06/2024;235;4
06/06/2024;296;7
07/06/2024;226;7
08/06/2024;185;7
09/06/2024;116;10
10/06/2024;130;11
11/06/2024;472;10
12/06/2024;373;9
13/06/2024;295;6
14/06/2024;616;9
15/06/2024;159;7
16/06/2024;140;6
17/06/2024;410;7
18/06/2024;373;17
19/06/2024;427;8
20/06/2024;448;13
21/06/2024;427;7
22/06/2024;159;9
23/06/2024;159;12
24/06/2024;594;14
25/06/2024;406;14
26/06/2024;552;18
27/06/2024;298;9
28/06/2024;456;16
29/06/2024;243;9
30/06/2024;117;7
01/07/2024;606;14
02/07/2024;463;8
03/07/2024;518;10
04/07/2024;351;6
05/07/2024;456;11
06/07/2024;198;10
07/07/2024;111;13
08/07/2024;442;9
09/07/2024;411;17
10/07/2024;406;11
11/07/2024;421;16
12/07/2024;266;5
13/07/2024;196;10
14/07/2024;155;13
15/07/2024;424;12
16/07/2024;334;10
17/07/2024;283;4
18/07/2024;242;11
19/07/2024;212;7
20/07/2024;167;10
21/07/2024;88;4
22/07/2024;380;10
23/07/2024;230;11
24/07/2024;198;10
25/07/2024;244;9
